"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00116910","1990-01","0","0","10","5","0","0","0","27","2","0","0","14","0","0.0","0.74","61","3769","936","1.98","0.0","34.8","42.9","26.7"
"USC00116910","1990-02","0","0","9","4","0","1","0","26","5","0","0","6","0","1.0","0.83","61","4662","893","2.71","1.0","33.1","42.0","24.2"
"USC00116910","1990-03","11","11","13","11","0","0","0","18","3","3","0","19","0","0.0","1.51","80","5379","717","4.19","0.0","42.2","50.7","33.8"
"USC00116910","1990-04","47","36","12","7","0","0","0","11","0","7","0","22","0","0.0","0.41","87","5881","503","1.62","0.0","49.4","60.3","38.6"
"USC00116910","1990-05","53","6","13","9","0","0","0","0","0","12","0","37","0","0.0","1.00","81","6119","238","4.41","0.0","57.5","67.0","48.1"
"USC00116910","1990-06","250","198","12","8","0","0","0","0","0","28","3","47","0","0.0","1.91","92","6140","21","6.50","0.0","70.9","80.7","61.1"
"USC00116910","1990-07","489","238","12","10","0","0","0","0","0","30","3","57","0","0.0","0.99","96","4","4","4.99","0.0","72.6","81.3","63.8"
"USC00116910","1990-08","697","209","9","6","0","0","0","0","0","30","4","51","0","0.0","1.22","93","13","9","3.65","0.0","71.4","81.0","61.8"
"USC00116910","1990-09","851","154","6","3","0","0","0","0","0","23","3","38","0","0.0","0.36","96","116","103","0.80","0.0","66.7","78.0","55.4"
"USC00116910","1990-10","860","8","9","7","0","0","0","8","0","10","0","29","0","0.0","1.12","86","553","437","4.80","0.0","51.2","63.8","38.6"
"USC00116910","1990-11","860","0","9","5","0","0","0","12","0","6","0","22","0","0.0","4.42","76","1134","582","7.42","0.0","45.6","55.6","35.6"
"USC00116910","1990-12","860","0","12","7",,"1","2","26","8","0","0","-3",,"1.0","1.77","58","2242","1107","4.19","1.6","29.3","37.7","20.9"
"USC00116910","1991-01","0","0","8","4",,"2","2","31","23","0","0","-3",,"5.0","0.47","40","3596","1354","1.38","7.0","21.3","27.8","14.8"
"USC00116910","1991-02","0","0","5","1","0","0","0","25","7","0","0","3","0","0.6","0.38","57","4566","970","0.51","1.5","30.4","37.0","23.7"
"USC00116910","1991-03","2","2","11","6","0","2","0","16","2","4","0","21","0","8.0","1.39","79","5326","760","4.41","11.0","40.5","49.7","31.4"
"USC00116910","1991-04","22","20","12","10","0","0","0","0","0","11","0","33","0","0.0","1.23","82","5646","321","3.33","0.0","55.0","66.0","44.0"
"USC00116910","1991-05","208","186","15","9","0","0","0","0","0","25","2","40","0","0.0","1.60","94","5737","90","6.03","0.0","68.1","77.9","58.2"
"USC00116910","1991-06","513","304","2","1","0","0","0","0","0","30","6","56","0","0.0","0.31","95","5737","0","0.39","0.0","75.1","85.7","64.6"
"USC00116910","1991-07","851","338","7","2","0","0","0","0","0","31","11","56","0","0.0","0.13","98","0","0","0.44","0.0","75.9","86.3","65.5"
"USC00116910","1991-08","1133","283","9","7","0","0","0","0","0","30","10","56","0","0.0","0.77","98","0","0","2.56","0.0","74.1","85.0","63.2"
"USC00116910","1991-09","1288","154","11","3","0","0","0","0","0","20","6","33","0","0.0","1.25","94","147","147","2.61","0.0","65.1","77.1","53.2"
"USC00116910","1991-10","1306","18","14","11","0","0","0","5","0","10","0","31","0","0.0","1.74","83","488","340","7.40","0.0","54.6","65.4","43.8"
"USC00116910","1991-11","1306","0","15","7","0","1","0","18","9","1","0","5","0","1.5","0.81","71","1379","891","2.65","1.9","35.3","43.6","27.0"
"USC00116910","1991-12","1306","0","7","5","0","1","2","29","9","0","0","-1","0","2.0","0.65","65","2425","1046","1.85","2.5","31.3","38.7","23.8"
"USC00116910","1992-01","0","0","11","6",,"3","4","22","7","0","0","-6",,"3.0","0.22","48","3556","1131","1.05","6.6","28.5","35.0","22.0"
"USC00116910","1992-02","0","0","9","3","0","0","0","23","3","0","0","11","0","0.1","0.66","59","4450","894","1.40","0.1","34.2","41.0","27.3"
"USC00116910","1992-03","0","0","15","7",,"1","0","18","3","3","0","16",,"1.0","0.48","73","5193","744","1.94","2.2","40.5","50.1","31.0"
"USC00116910","1992-04","0","0","18","8","0","0","0","8","0","7","0","26","0","0.2","0.23","79","5681","488","1.65","0.2","48.2","58.5","37.9"
"USC00116910","1992-05","59","59","7","2","0","0","0","0","0","21","0","33","0","0.0","0.32","88","5885","204","0.67","0.0","60.3","73.3","47.3"
"USC00116910","1992-06","181","122","8","5","0","0","0","0","0","27","0","43","0","0.0","0.64","88","5920","35","2.17","0.0","67.9","79.2","56.6"
"USC00116910","1992-07","355","174","18","14","0","0","0","0","0","29","0","55","0","0.0","1.44","89","1","1","8.64","0.0","70.6","79.0","62.1"
"USC00116910","1992-08","460","105","5","3","0","0","0","0","0","26","1","50","0","0.0","0.24","92","45","44","0.56","0.0","67.0","77.0","57.0"
"USC00116910","1992-09","524","64","10","5","0","0","0","0","0","23","0","37","0","0.0","1.95","86","172","127","4.89","0.0","62.9","74.2","51.7"
"USC00116910","1992-10","528","4","8","4","0","0","0","4","0","10","0","23","0","0.0","0.48","83","576","404","0.98","0.0","52.1","64.2","40.0"
"USC00116910","1992-11","528","0","21","13","0","0","0","15","0","0","0","23","0","0.0","0.96","62","1354","778","5.42","0.0","39.1","44.5","33.6"
"USC00116910","1992-12","528","0","11","7","0","2","0","28","9","0","0","1","0","3.5","0.82","59","2486","1132","2.73","6.5","28.5","35.4","21.6"
"USC00116910","1993-01","0","0","9","6",,"2","0","30","16","0","0","6",,"1.5","1.25","55","3650","1164","3.22","3.0","26.0","32.6","19.3"
"USC00116910","1993-02","0","0","8","3","17","4","3","26","14","0","0","-5","8","4.0","0.35","51","4725","1075","1.07","10.4","24.8","32.4","17.2"
"USC00116910","1993-03","0","0","15","8","3","1","0","23","5","1","0","9","1","1.5","0.91","72","5674","948","3.14","2.6","34.4","41.8","27.1"
"USC00116910","1993-04","0","0","14","9","0","0","0","6","0","4","0","25","0","0.2","1.03","75","6198","524","3.67","0.2","47.5","57.7","37.3"
"USC00116910","1993-05","46","46","12","7","0","0","0","0","0","20","0","39","0","0.0","0.90","87","6317","119","3.12","0.0","62.6","74.1","51.1"
"USC00116910","1993-06","237","191","13","13","0","0","0","0","0","24","3","40","0","0.0","1.47","92","6379","62","8.55","0.0","69.3","79.1","59.5"
"USC00116910","1993-07","538","301","15","11","0","0","0","0","0","31","3","62","0","0.0","1.40","91","0","0","5.31","0.0","74.7","82.3","67.1"
"USC00116910","1993-08","797","259","12","10","0","0","0","0","0","31","3","53","0","0.0","2.67","93","5","5","6.74","0.0","73.5","82.2","64.7"
"USC00116910","1993-09","819","22","12","8","0","0","0","0","0","17","0","34","0","0.0","2.16","83","159","155","6.56","0.0","60.6","69.5","51.7"
"USC00116910","1993-10","823","4","4","4","0","0","0","4","0","7","0","28","0","0.0","2.08","82","556","396","3.80","0.0","50.7","62.6","38.9"
"USC00116910","1993-11","823","0","12","6","0","0","0","17","5","0","0","17","0","0.1","0.55","67","1348","792","1.94","0.1","38.6","46.3","30.8"
"USC00116910","1993-12","823","0","11","6","7","2","1","21","12","0","0","0","5","3.0","0.50","55","2457","1109","1.85","5.6","29.2","35.0","23.5"
"USC00116910","1994-01","0","0","9","5","11","4","11","29","19","0","0","-18","6","4.0","0.39","40","3945","1487","1.22","13.7","17.0","24.1","10.0"
"USC00116910","1994-02","0","0","8","3",,"5","3","25","17","0","0","-6",,"7.0","0.47","61","5135","1190","1.40","20.0","22.5","31.3","13.7"
"USC00116910","1994-03","0","0","3","2",,"0","0","22","2","2","0","18",,"0.0","0.41","79","5971","836","0.62","0.0","38.0","48.2","27.9"
"USC00116910","1994-04","22","22","11","8",,"0","0","6","0","10","0","22",,"0.3","1.59","87","6384","413","3.77","0.3","51.5","63.8","39.2"
"USC00116910","1994-05","77","55","6","4","0","0","0","0","0","20","0","34","0","0.0","0.66","89","6614","231","1.94","0.0","59.3","72.2","46.5"
"USC00116910","1994-06","339","262","8","6","0","0","0","0","0","28","11","50","0","0.0","0.64","95","6634","19","1.66","0.0","73.1","84.6","61.6"
"USC00116910","1994-07","598","259","7","5","0","0","0","0","0","31","6","55","0","0.0","1.52","97","1","1","3.84","0.0","73.3","84.0","62.6"
"USC00116910","1994-08","731","133","9","8","0","0","0","0","0","31","0","49","0","0.0","2.52","89","12","11","7.88","0.0","69.2","80.0","58.4"
"USC00116910","1994-09","830","99","5","4","0","0","0","0","0","20","1","44","0","0.0","0.88","91","94","81","2.52","0.0","65.6","76.4","54.8"
"USC00116910","1994-10","837","7","5","4","0","0","0","2","0","15","0","31","0","0.0","0.73","86","371","277","1.56","0.0","56.3","67.7","44.9"
"USC00116910","1994-11","837","0","11","10","0","0","0","11","0","1","0","25","0","0.0","1.45","73","986","615","5.08","0.0","44.5","53.5","35.5"
"USC00116910","1994-12","837","0","5","3","0","0","0","23","3","0","0","11","0","0.0","1.38","58","1818","833","2.02","0.0","35.2","42.4","27.9"
"USC00116910","1995-01","0","0","11","6","15","2","3","29","20","0","0","-3","7","6.0","1.55","52","3105","1287","3.17","7.5","23.5","29.9","17.1"
"USC00116910","1995-02","0","0","5","1","0","0","1","27","8","0","0","-5","0","0.4","0.57","58","4153","1048","0.66","0.9","27.6","37.1","18.0"
"USC00116910","1995-03","0","0","10","6","0","0","0","16","4","7","0","12","0","0.0","0.92","78","4880","727","2.85","0.0","40.7","51.2","30.3"
"USC00116910","1995-04","0","0","11","8","0","0","0","7","0","1","0","21","0","0.0","0.85","78","5429","549","4.74","0.0","46.7","57.4","36.0"
"USC00116910","1995-05","6","6","12","11","0","0","0","0","0","15","0","37","0","0.0","2.88","80","5667","238","10.03","0.0","57.5","67.5","47.6"
"USC00116910","1995-06","241","236","11","7","0","0","0","0","0","28","5","51","0","0.0","1.65","95","5680","13","4.68","0.0","72.4","83.1","61.7"
"USC00116910","1995-07","573","332","10","6","0","0","0","0","0","31","10","53","0","0.0","0.34","101","2","2","1.51","0.0","76.1","85.9","66.3"
"USC00116910","1995-08","977","403","10","7","0","0","0","0","0","30","10","61","0","0.0","1.89","94","2","0","6.05","0.0","78.5","86.6","70.4"
"USC00116910","1995-09","1047","70","5","3","0","0","0","2","0","26","0","32","0","0.0","0.29","88","126","124","0.71","0.0","63.1","75.1","51.0"
"USC00116910","1995-10","1054","7","12","9","0","0","0","0","0","15","0","33","0","0.0","1.06","84","455","328","4.06","0.0","54.6","66.2","43.1"
"USC00116910","1995-11","1054","0","6","3","3","1","0","23","5","0","0","14","2","3.0","1.73","62","1399","945","2.50","3.0","33.5","41.9","25.1"
"USC00116910","1995-12","1054","0","5","1",,"1","2","31","13","0","0","-4",,"3.5","0.18","61","2596","1197","0.30","3.5","26.4","35.1","17.7"
"USC00116910","1996-01","0","0","10","5",,"3","5","29","14","0","0","-10",,"4.0","0.44","60","3864","1268","1.61","7.0","22.9","31.5","14.2"
"USC00116910","1996-02","0","0","6","2",,"1","5","24","10","1","0","-18",,"1.0","0.36","72","4917","1053","0.62","1.7","27.3","37.6","17.0"
"USC00116910","1996-03","0","0","7","4","0","0","1","24","8","0","0","0","0","0.5","0.56","66","5919","1002","1.42","0.5","32.7","42.9","22.5"
"USC00116910","1996-04","0","0","10","7","0","0","0","10","0","6","0","21","0","0.0","0.84","81","6466","548","2.79","0.0","46.7","58.6","34.9"
"USC00116910","1996-05","67","67","20","16","0","0","0","0","0","10","3","37","0","0.0","1.23","94","6726","260","7.59","0.0","58.8","68.3","49.4"
"USC00116910","1996-06","260","193","11","10","0","0","0","0","0","24","3","49","0","0.0","0.68","94","6759","33","3.05","0.0","70.3","79.7","60.9"
"USC00116910","1996-07","462","202","11","10","0","0","0","0","0","31","2","52","0","0.0","1.55","92","1","1","6.70","0.0","71.6","82.3","61.0"
"USC00116910","1996-08","683","221","4","3","0","0","0","0","0","31","3","56","0","0.0","0.25","92","1","0","0.68","0.0","72.1","81.6","62.6"
"USC00116910","1996-09","764","81","8","6","0","0","0","0","0","20","0","44","0","0.0","1.15","85","117","115","3.19","0.0","63.9","74.1","53.6"
"USC00116910","1996-10","769","5","8","7","0","0","0","3","0","11","0","26","0","0.0","0.70","80","455","339","2.44","0.0","54.2","65.5","43.0"
"USC00116910","1996-11","769","0","9","5","0","0","0","26","5","0","0","11","0","0.2","0.96","64","1414","959","2.26","0.2","33.0","40.2","25.8"
"USC00116910","1996-12","769","0","11","7","0","0","0","27","8","0","0","2","0","0.8","1.79","55","2525","1111","2.91","1.1","28.1","35.0","21.2"
"USC00116910","1997-01","0","0","12","6",,"4","11","28","21","0","0","-10",,"6.0","0.64","65","3988","1463","2.28","18.0","17.8","26.6","9.0"
"USC00116910","1997-02","0","0","8","5",,"2","0","24","8","0","0","13",,"3.0","1.47","57","4927","939","3.44","4.4","30.2","36.6","23.8"
"USC00116910","1997-03","0","0","8","4","0","0","0","21","1","3","0","13","0","0.0","0.66","76","5678","751","1.88","0.0","40.4","51.0","29.7"
"USC00116910","1997-04","0","0","9","6","3","1","0","13","0","1","0","17","10","12.0","0.72","75","6287","609","2.35","12.0","44.0","54.6","33.4"
"USC00116910","1997-05","9","9","13","7","0","0","0","0","0","11","0","34","0","0.0","0.44","85","6581","294","1.99","0.0","55.8","67.4","44.3"
"USC00116910","1997-06","184","175","11","5","0","0","0","0","0","24","3","50","0","0.0","0.81","94","6620","39","2.05","0.0","69.5","79.6","59.4"
"USC00116910","1997-07","470","286","6","3","0","0","0","0","0","29","9","51","0","0.0","0.73","98","14","14","1.27","0.0","73.8","84.3","63.3"
"USC00116910","1997-08","611","140","14","10","0","0","0","0","0","30","2","50","0","0.0","3.30","92","25","10","6.58","0.0","69.2","79.0","59.4"
"USC00116910","1997-09","697","87","8","5","0","0","0","0","0","27","0","46","0","0.0","1.05","87","87","63","2.62","0.0","65.8","77.1","54.5"
"USC00116910","1997-10","753","55","8","3","0","0","0","6","0","12","0","26","0","0.0","0.50","88","492","404","1.39","0.0","53.7","64.7","42.8"
"USC00116910","1997-11","753","0","13","7","1","0","0","18","2","0","0","16","1","0.7","1.28","67","1320","828","2.74","1.9","37.4","44.5","30.2"
"USC00116910","1997-12","753","0","12","3",,"3","0","30","11","0","0","14",,"2.0","0.48","51","2381","1061","1.15","4.6","30.8","35.5","26.0"
"USC00116910","1998-01","0","0","11","9",,"3","0","25","14","0","0","1",,"2.0","0.45","59","3508","1128","2.35","4.6","28.6","34.7","22.5"
"USC00116910","1998-02","0","0","7","6",,"0","0","15","0","0","0","24",,"0.0","0.61","64","4237","728","2.05","0.0","39.0","45.7","32.3"
"USC00116910","1998-03","9","9","15","7",,"2","0","22","4","4","0","4",,"5.0","1.05","79","5070","834","3.86","9.3","38.4","45.6","31.2"
"USC00116910","1998-04","13","4","12","7","0","0","0","0","0","5","0","34","0","0.0","0.84","80","5444","373","3.48","0.0","52.7","61.7","43.6"
"USC00116910","1998-05","101","89","17","9","0","0","0","0","0","23","3","49","0","0.0","0.99","90","5509","65","3.69","0.0","65.9","76.4","55.4"
"USC00116910","1998-06","303","202","15","9","0","0","0","0","0","25","5","46","0","0.0","1.30","94","5556","47","5.84","0.0","70.2","79.1","61.2"
"USC00116910","1998-07","575","271","6","5","0","0","0","0","0","31","2","58","0","0.0","3.20","93","0","0","7.73","0.0","73.7","82.8","64.7"
"USC00116910","1998-08","840","265","9","5","0","0","0","0","0","31","1","58","0","0.0","0.36","92","0","0","1.16","0.0","73.8","83.2","64.3"
"USC00116910","1998-09","1029","189","10","4","0","0","0","0","0","30","5","44","0","0.0","0.25","95","18","18","0.92","0.0","70.7","82.9","58.5"
"USC00116910","1998-10","1035","6","9","9",,"0","0","0","0","11","0","33",,"0.0","0.92","80","324","306","3.08","0.0","55.3","66.1","44.5"
"USC00116910","1998-11","1035","0","9","4","0","0","0","9","0","0","0","20","0","0.1","0.71","69","928","603","1.54","0.1","44.9","54.5","35.3"
"USC00116910","1998-12","1035","0","5","4","0","0","1","22","7","0","0","-2","0","0.0","1.39","69","1822","894","2.04","0.0","35.0","43.7","26.4"
"USC00116910","1999-01","0","0","11","7","29","6","9","30","18","0","0","-22","23","10.0","1.00","49","3218","1396","3.67","26.8","20.0","27.9","12.0"
"USC00116910","1999-02","0","0","8","4","1","1","0","23","3","1","0","15","1","1.0","0.33","70","4076","858","1.11","1.3","34.3","42.5","26.2"
"USC00116910","1999-03","0","0","5","5",,"2","0","28","4","1","0","14",,"8.0","0.69","72","4990","913","1.94","9.0","35.5","45.8","25.2"
"USC00116910","1999-04","7","7","14","12","0","0","0","0","0","7","0","36","0","0.0","1.05","82","5329","339","5.74","0.0","53.0","63.0","43.1"
"USC00116910","1999-05","69","61","11","8","0","0","0","0","0","24","0","40","0","0.0","1.22","85","5438","109","4.40","0.0","63.4","74.2","52.7"
"USC00116910","1999-06","294","225","7","6","0","0","0","0","0","27","6","48","0","0.0","2.30","92","5464","26","6.06","0.0","71.7","81.6","61.7"
"USC00116910","1999-07","685","391","5","5","0","0","0","0","0","31","12","52","0","0.0","0.88","98","1","1","2.19","0.0","77.6","86.9","68.3"
"USC00116910","1999-08","835","150","7","5","0","0","0","0","0","31","0","50","0","0.0","1.12","88","5","4","3.14","0.0","69.7","80.1","59.4"
"USC00116910","1999-09","899","63","5","3","0","0","0","0","0","24","3","36","0","0.0","0.63","93","119","114","1.26","0.0","63.3","77.2","49.4"
"USC00116910","1999-10","900","1","5","4","0","0","0","5","0","11","0","27","0","0.0","0.87","80","519","400","1.45","0.0","52.2","64.6","39.7"
"USC00116910","1999-11","900","0","4","2","0","0","0","14","0","7","0","18","0","0.0","0.33","76","1088","568","0.68","0.0","46.1","58.4","33.7"
"USC00116910","1999-12","900","0","14","5","7","1","2","26","12","0","0","-3","2","1.5","0.80","59","2165","1078","2.15","4.3","29.1","37.3","21.0"
"USC00116910","2000-01","0","0","6","4","12","3","5","28","18","0","0","-8","15","9.5","0.52","60","3425","1260","1.29","17.0","23.2","31.8","14.5"
"USC00116910","2000-02","0","0","7","2",,"0","0","23","8","1","0","5",,"0.2","0.38","71","4363","938","0.96","0.6","32.6","41.6","23.7"
"USC00116910","2000-03","0","0","8","6","0","0","0","18","0","4","0","19","0","0.0","0.36","79","5008","645","1.81","0.0","44.2","56.0","32.4"
"USC00116910","2000-04","0","0","9","7","0","0","0","7","0","7","0","26","0","0.0","0.70","78","5443","435","2.88","0.0","50.1","62.3","37.8"
"USC00116910","2000-05","71","70","12","7","0","0","0","0","0","22","0","40","0","0.0","0.72","87","5562","119","2.69","0.0","63.4","74.4","52.5"
"USC00116910","2000-06","232","160","15","9","0","0","0","0","0","27","0","47","0","0.0","1.47","89","5591","28","4.20","0.0","69.4","78.8","60.0"
"USC00116910","2000-07","443","211","7","5","0","0","0","0","0","31","0","53","0","0.0","2.40","87","2","2","5.17","0.0","71.7","80.9","62.6"
"USC00116910","2000-08","695","252","10","7","0","0","0","0","0","31","2","54","0","0.0","0.49","94","2","0","2.02","0.0","73.1","83.5","62.8"
"USC00116910","2000-09","824","129","6","6","0","0","0","0","0","22","6","37","0","0.0","1.90","97","109","106","3.50","0.0","65.8","78.4","53.2"
"USC00116910","2000-10",,,"7","3","0","0",,,,,,,"0","0.0","1.49",,,,"2.39","0.0",,,
"USC00116910","2000-11",,"3","8","7","0","0","0","17","3","2","0","11","0","0.0","1.19","80",,"826","3.87","0.0","37.6","45.6","29.5"
"USC00116910","2000-12",,"0","10","7","22","8","11","30","21","0","0","-12","21","6.0","0.38","39",,"1508","1.50","27.0","14.8","22.8","6.9"
"USC00116910","2001-01","0","0","7","5",,"1","2","29","17","0","0","-4",,"4.0","0.91","41",,"1302","2.10","4.6","23.0","30.1","15.9"
"USC00116910","2001-02","0","0","10","6","7","1","2","25","10","0","0","-3","5","1.0","1.34","55",,"1049","2.81","1.8","27.5","36.2","18.9"
"USC00116910","2001-03","0","0","5","4","1","1","0","29","3","0","0","14","2","3.0","0.36","58",,"935","0.86","3.0","34.1","44.3","23.9"
"USC00116910","2001-04","18","18","12","8","0","0","0","5","0","14","0","28","0","0.0","1.03","83",,"303","3.25","0.0","55.5","67.7","43.4"
"USC00116910","2001-05","119","100","16","8","0","0","0","0","0","20","1","41","0","0.0","0.70","92",,"121","3.68","0.0","64.3","75.5","53.2"
"USC00116910","2001-06","296","177","8","5","0","0","0","0","0","24","4","47","0","0.0","2.11","99",,"61","4.83","0.0","68.9","78.2","59.6"
"USC00116910","2001-07","598","303","9","5","0","0","0","0","0","31","5","49","0","0.0","1.55","96","2","2","4.46","0.0","74.7","84.7","64.7"
"USC00116910","2001-08","864","266","9","8","0","0","0","0","0","30","5","53","0","0.0","0.99","94","4","2","3.98","0.0","73.5","82.7","64.3"
"USC00116910","2001-09","936","72","8","6","0","0","0","0","0","24","0","38","0","0.0","2.05","89","121","116","4.06","0.0","63.5","74.5","52.5"
"USC00116910","2001-10","943","7","10","8","0","0","0","3","0","6","0","30","0","0.0","2.32","83","473","352","6.12","0.0","53.1","62.9","43.3"
"USC00116910","2001-11","943","0","8","6","0","0","0","6","0","4","0","26","0","0.0","0.84","73","948","475","2.09","0.0","49.2","59.8","38.5"
"USC00116910","2001-12","943","0","7","6","0","1","0","23","7","0","0","5","0","1.5","0.45","68","1912","963","1.46","1.5","33.9","41.7","26.1"
"USC00116910","2002-01","0","0","5","3","1","1","0","25","6","0","0","6","1","1.0","1.56","62","2942","1030","2.90","1.9","31.8","40.7","22.8"
"USC00116910","2002-02","0","0","6","5","3","2","0","24","4","0","0","10","4","3.0","0.68","60","3852","911","1.75","4.0","32.5","40.8","24.2"
"USC00116910","2002-03","0","0","10","8","4","2","2","16","3","0","0","-5","2","3.5","0.69","67","4755","903","2.65","5.5","35.0","44.3","25.7"
"USC00116910","2002-04","45","45","12","8","0","0","0","6","0","8","1","24","0","0.0","1.46","90","5226","471","4.41","0.0","50.8","60.6","41.0"
"USC00116910","2002-05","81","36","11","7","0","0","0","0","0","11","0","33","0","0.0","3.15","86","5513","287","5.59","0.0","56.9","67.3","46.4"
"USC00116910","2002-06","341","259","9","5","0","0","0","0","0","26","9","52","0","0.0","4.10","93","5534","21","5.49","0.0","72.9","83.0","62.9"
"USC00116910","2002-07","692","352","8","4","0","0","0","0","0","30","9","57","0","0.0","0.90","95","0","0","2.22","0.0","76.7","86.4","67.0"
"USC00116910","2002-08","934","242","8","6","0","0","0","0","0","30","3","57","0","0.0","1.33","91","2","2","4.38","0.0","73.1","82.9","63.3"
"USC00116910","2002-09","1076","142","6","3","0","0","0","0","0","27","3","41","0","0.0","0.44","91","50","48","1.19","0.0","68.1","80.5","55.7"
"USC00116910","2002-10","1109","33","7","6","0","0","0","5","0","11","0","27","0","0.0","0.64","86","511","461","1.54","0.0","51.2","61.0","41.4"
"USC00116910","2002-11","1109","0","7","3","0","0","0","20","3","0","0","14","0","0.2","0.35","65","1278","767","0.95","0.3","37.9","45.9","29.9"
"USC00116910","2002-12","1109","0","3","3","5","1","0","29","8","0","0","8","5","5.0","0.60","60","2353","1075","1.14","5.0","30.3","39.3","21.3"
"USC00116910","2003-01","0","0","8","2","18","4","6","30","17","0","0","-9","4","3.0","0.12","55","3738","1385","0.43","8.8","20.3","28.6","12.1"
"USC00116910","2003-02","0","0","8","3","11","4","2","27","14","0","0","-3","7","7.0","0.30","51","4909","1171","0.92","10.5","23.2","32.3","14.1"
"USC00116910","2003-03","0","0","8","5","2","1","0","16","5","3","0","7","3","4.0","0.74","77","5716","807","2.23","4.5","39.0","50.0","27.9"
"USC00116910","2003-04","13","13","8","5","0","0","0","9","0","12","0","27","0","0.0","0.86","86","6118","402","2.12","0.0","52.1","64.3","39.8"
"USC00116910","2003-05","25","12","12","10","0","0","0","1","0","18","0","32","0","0.0","1.40","87","6295","177","4.95","0.0","59.7","70.4","49.0"
"USC00116910","2003-06","145","119","12","6","0","0","0","0","0","25","2","40","0","0.0","0.71","91","6357","63","2.04","0.0","66.9","77.3","56.5"
"USC00116910","2003-07","398","253","9","8","0","0","0","0","0","31","6","54","0","0.0","1.39","95","1","1","4.83","0.0","73.1","83.0","63.2"
"USC00116910","2003-08","681","283","8","3","0","0","0","0","0","31","7","58","0","0.0","0.65","98","1","0","1.29","0.0","74.1","84.6","63.6"
"USC00116910","2003-09","753","72","6","6","0","0","0","0","0","23","0","36","0","0.0","1.55","85","110","108","3.59","0.0","63.8","75.3","52.2"
"USC00116910","2003-10","759","6","3","3","0","0","0","2","0","12","0","28","0","0.0","1.23","86","457","348","2.16","0.0","53.2","64.6","41.8"
"USC00116910","2003-11","759","0","11","4","0","0","0","14","2","2","0","22","0","0.2","1.37","75","1118","660","3.40","0.2","43.0","51.8","34.2"
"USC00116910","2003-12","759","0","7","4","1","2","0","25","9","0","0","8","3","3.0","0.64","56","2110","992","1.67","6.3","31.9","38.7","25.1"
"USC00116910","2004-01","0","0","7","4","13","4","6","30","17","0","0","-10","6","3.0","0.27","61","3448","1338","0.83","8.3","21.8","29.0","14.6"
"USC00116910","2004-02","0","0","5","3","17","2","1","26","13","0","0","-9","4","3.0","0.32","55","4555","1107","0.60","4.5","26.8","35.4","18.3"
"USC00116910","2004-03","0","0","13","8","0","2","0","16","0","1","0","17","0","1.0","1.33","74","5206","650","4.41","2.0","43.5","53.0","34.0"
"USC00116910","2004-04","27","27","3","3","0","0","0","9","0","10","0","29","0","0.0","1.16","87","5613","407","2.36","0.0","52.3","64.6","40.1"
"USC00116910","2004-05","135","107","14","10","0","0","0","0","0","22","0","35","0","0.0","2.38","89","5740","127","5.77","0.0","64.4","75.2","53.5"
"USC00116910","2004-06","282","148","7","4","0","0","0","0","0","28","1","48","0","0.0","0.73","91","5768","28","2.25","0.0","69.0","78.1","59.9"
"USC00116910","2004-07","489","207","9","6","0","0","0","0","0","30","0","56","0","0.0","1.40","89","4","4","3.33","0.0","71.7","81.0","62.5"
"USC00116910","2004-08","612","123","12","8","0","0","0","0","0","28","0","47","0","0.0","2.12","88","51","47","4.80","0.0","67.4","77.5","57.3"
"USC00116910","2004-09","735","123","2","1","0","0","0","0","0","29","0","43","0","0.0","0.80","87","87","36","0.82","0.0","67.9","79.8","56.0"
"USC00116910","2004-10","739","4","12","10","0","0","0","3","0","9","0","30","0","0.0","0.82","80","435","348","2.93","0.0","53.9","64.5","43.3"
"USC00116910","2004-11","739","0","13","8","2","1","0","10","0","0","0","12","4","5.0","1.15","67","1067","632","4.43","5.0","43.9","52.0","35.9"
"USC00116910","2004-12","739","0","8","3","2","1","2","23","9","0","0","-3","1","1.0","0.92","55","2163","1096","1.78","1.0","29.7","37.2","22.1"
"USC00116910","2005-01","0","0","14","8","9","5","1","26","13","0","0","0","3","2.0","1.37","64","3359","1196","4.57","6.1","26.4","33.3","19.5"
"USC00116910","2005-02","0","0","11","7","0","0","0","23","3","0","0","13","0","0.2","0.69","55","4227","868","1.76","0.4","34.0","41.4","26.6"
"USC00116910","2005-03","0","0","9","5","1","1","0","26","4","2","0","15","1","1.0","0.90","76","5129","902","1.83","1.0","35.9","45.8","26.0"
"USC00116910","2005-04","13","13","9","5","0","0","0","2","0","12","0","26","0","0.0","0.71","83","5461","332","1.88","0.0","54.4","66.3","42.5"
"USC00116910","2005-05","54","41","5","2","0","0","0","3","0","21","0","29","0","0.0","0.34","87","5649","187","0.66","0.0","60.3","72.1","48.5"
"USC00116910","2005-06","346","291","6","3","0","0","0","0","0","30","13","50","0","0.0","0.68","96","5650","1","1.15","0.0","74.9","85.7","64.1"
"USC00116910","2005-07","673","328","7","6","0","0","0","0","0","31","5","57","0","0.0","0.76","98","0","0","1.94","0.0","75.6","85.9","65.3"
